obdb_id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,country,longitude,latitude,phone,website_url,updated_at,created_at,tags
9-white-deer-brewery-macroom,9 White Deer Brewery,micro,Ballymakeera,,,Macroom,,Cork,P12 E277,Ireland,-9.146507143110021,51.936249000000004,+35302627110,http://www.9whitedeer.ie/,2021-03-26,2021-03-26,
beamish-and-crawford-heineken-cork,Beamish and Crawford (Heineken),large,Leitrim Street,,,Cork,,Cork,T23 VF78,Ireland,-8.4750739,51.9037117,+353214503371,http://beamish.ie/,2021-03-26,2021-03-26,
blacks-brewery-kinsale,Blacks Brewery,Micro,Farm Lane,Knocknabohilly,,Kinsale,,Cork,P17 XW70,Ireland,-8.515723943710329,51.711099326814725,+353873881074,https://www.blacksbrewery.com/,2021-03-26,2021-03-26,
cotton-ball-brewing-company-mayfield,Cotton Ball Brewing Company,brewpub,18 Old Youghal Road,,,Mayfield,,Cork,T23 AE78,Ireland,-8.4340922,51.9132877,+353214503096,https://www.cottonball.ie/,2021-03-26,2021-03-26,
eight-degrees-brewing-mitchelstown,Eight Degrees Brewing,micro,Unit 4,Coolnanave Industrial Park,Coolnanave,Mitchelstown,,Cork,P67 FR62,Ireland,-8.271831,52.2772804,+3532584933,https://www.eightdegrees.ie/,2021-03-26,2021-03-26,
franciscan-well-brewery-brewpub-cork,Franciscan Well Brewery & Brewpub,brewpub,14b North Mall,Sunday's Well,,Cork,,Cork,T23 RHW2,Ireland,-8.4755419,51.9005854,+353 21 4393 434,https://franwellbar.com/,2021-03-26,2021-03-26,
munster-brewery-youghal,Munster Brewery,micro,Unit 2F,Youghal Business Park,Parkmountain,Youghal,,Cork,P36 ET22,Ireland,-7.8708284,51.9535199,+353879878171,http://munsterbrewery.com/,2021-03-26,2021-03-26,
murphys-brewery-heineken-cork,Murphy's Brewery (Heineken),large,Leitrim Street,,,Cork,,Cork,T23 VF78,Ireland,-8.4750739,51.9037117,+353214503371,http://www.murphys.com/,2021-03-26,2021-03-26,
rising-sons-brewery-cork,Rising Sons Brewery,micro,Cornmarket St,,,Cork,,Cork,T12 WK27,Ireland,-8.4787177,51.8995943,+353212414764,http://www.risingsonsbrewery.com/,2021-03-26,2021-03-26,
the-franciscan-well-brewery-cork,The Franciscan Well Brewery,regional,Riverpark House,Marina Commercial Park,Centre Park Rd,Cork,,Cork,T12 HW3W,Ireland,-8.4755419,51.9005854,+353 1 629 4101,http://www.franciscanwellbrewery.com/en/index,2021-03-26,2021-03-26,
west-cork-brewing-co-baltimore,West Cork Brewing Co.,brewpub,C/O Casey's Hotel,Church Strand,,Baltimore,,Cork,P81 YW66,Ireland,-9.3708544,51.4870695,+353834156186,http://www.westcorkbrewingco.ie/,2021-03-26,2021-03-26,
